Name,G,MIN,PTS,FGM,FGA,FGP,FTM,FTA,FTP,3PM,3PA,3PP,ORB,DRB,TRB,AST,STL,BLK,TO,PF
Michael Redd ,0.1403508771929825,0.6565656565656566,0.3076923076923077,0.4107142857142857,0.5,0.22613065326633164,0.21875,0.26582278481012667,0.6145251396648044,0.75,0.8285714285714285,0.366,0.0769230769230769,0.07792207792207795,0.07017543859649122,0.1354166666666667,0.2916666666666667,0.0,0.04166666666666674,0.0
David West ,0.894736842105263,0.9494949494949494,0.2923076923076924,0.4999999999999999,0.537037037037037,0.3115577889447234,0.34375,0.3417721518987342,0.810055865921788,0.03571428571428572,0.04285714285714285,0.24,0.43589743589743596,0.5844155844155845,0.5350877192982456,0.09374999999999997,0.08333333333333331,0.28571428571428575,0.2500000000000001,0.5416666666666669
Zachary Randolph ,0.43859649122807015,0.5252525252525255,0.27692307692307705,0.5535714285714285,0.5833333333333333,0.3266331658291457,0.15625,0.26582278481012667,0.3910614525139666,0.21428571428571427,0.2714285714285714,0.33,0.6923076923076925,0.6493506493506496,0.675438596491228,0.07291666666666669,0.20833333333333331,0.07142857142857142,0.33333333333333326,0.5416666666666669
Caron Butler ,0.7368421052631577,0.8787878787878793,0.27692307692307705,0.3749999999999999,0.4629629629629628,0.2160804020100504,0.390625,0.40506329113924056,0.7374301675977655,0.35714285714285715,0.44285714285714284,0.31,0.35897435897435903,0.32467532467532473,0.33333333333333337,0.30208333333333337,0.5,0.07142857142857142,0.6666666666666667,0.45833333333333337
Vince Carter ,0.9649122807017543,0.6969696969696968,0.27692307692307705,0.3928571428571429,0.5185185185185186,0.1356783919597988,0.25,0.2911392405063291,0.6229050279329609,0.6785714285714286,0.7000000000000001,0.385,0.12820512820512822,0.29870129870129875,0.23684210526315785,0.34375,0.25,0.14285714285714285,0.2500000000000001,0.6249999999999999
Stephen Jackson ,0.5964912280701753,0.9898989898989909,0.2692307692307694,0.3214285714285713,0.5277777777777777,0.0201005025125629,0.375,0.40506329113924056,0.6480446927374299,0.6071428571428571,0.7428571428571429,0.338,0.20512820512820512,0.25974025974025977,0.23684210526315785,0.53125,0.4583333333333333,0.14285714285714285,1.0,0.5000000000000001
Ben Gordon ,1.0,0.6767676767676774,0.2692307692307694,0.3749999999999999,0.4444444444444444,0.22613065326633164,0.21875,0.2405063291139241,0.7541899441340785,0.75,0.7285714285714284,0.41,0.051282051282051266,0.11688311688311687,0.0964912280701754,0.20833333333333334,0.20833333333333331,0.07142857142857142,0.375,0.33333333333333337
Dwight Howard ,0.9473684210526314,0.5858585858585865,0.2615384615384617,0.3392857142857141,0.11111111111111116,0.8140703517587937,0.59375,0.9999999999999999,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,1.0,0.0,0.25,1.0,0.625,0.8333333333333334
Paul Pierce ,0.9824561403508771,0.7575757575757578,0.25384615384615405,0.2678571428571429,0.31481481481481466,0.2361809045226133,0.484375,0.5063291139240507,0.6592178770949719,0.5357142857142857,0.5428571428571428,0.391,0.0769230769230769,0.4025974025974027,0.28070175438596484,0.22916666666666666,0.25,0.07142857142857142,0.5416666666666667,0.5416666666666669
Al Harrington ,0.8421052631578947,0.5050505050505052,0.2230769230769234,0.3749999999999999,0.5,0.14572864321608048,0.09375,0.15189873417721522,0.5558659217877098,0.8214285714285714,0.9142857142857143,0.364,0.2564102564102564,0.3896103896103897,0.33333333333333337,0.0,0.3333333333333333,0.07142857142857142,0.29166666666666674,0.7083333333333334
