,Murder_Rate,South,West,Northeast,Midwest
0,0.0,3.864793809485665e-06,0.01769231044416972,0.054400114123671385,0.039320758743541094
1,0.012012012012012012,4.076812330400589e-06,0.018141825690721067,0.055332184731049734,0.03997865242396488
2,0.024024024024024024,4.299852120032653e-06,0.018600266767297816,0.05627278694478886,0.04064287075029002
3,0.036036036036036036,4.534451220628019e-06,0.01906773573248985,0.05722182645458558,0.04131337571002946
4,0.04804804804804805,4.781172029350731e-06,0.019544333625961332,0.058179204738345265,0.04199012709206006
5,0.06006006006006006,5.0406023005905835e-06,0.02003016039204607,0.059144819068442836,0.04267308248318582
6,0.07207207207207207,5.3133561845176465e-06,0.02052531480228794,0.06011856252116472,0.04336219726584232
7,0.08408408408408408,5.60007530295559e-06,0.02102989437696416,0.06110032398936429,0.044057424616948955
8,0.0960960960960961,5.901429863666745e-06,0.02154399530563137,0.06208998819835999,0.044758715507915096
9,0.10810810810810811,6.218119814161877e-06,0.022067712366735322,0.06308743572510192,0.045466018705803725
10,0.12012012012012012,6.550876036168767e-06,0.022601138846328285,0.06409254302062943,0.04617928077565675
11,0.13213213213213212,6.900461581913378e-06,0.023144366455938755,0.06510518243583933,0.04689844608398446
12,0.14414414414414414,7.267672953387493e-06,0.023697485249640528,0.0661252222505802,0.04762345680342024
13,0.15615615615615616,7.653341425796758e-06,0.024260583540370202,0.06715252670608556,0.04835425291854117
14,0.16816816816816815,8.05833441640165e-06,0.02483374781554313,0.06818695604075478,0.04909077223285429
15,0.18018018018018017,8.483556899983766e-06,0.025417062652020782,0.06922836652928664,0.04983295037694626
16,0.1921921921921922,8.929952872188484e-06,0.026010610630482954,0.07027661052516737,0.05058072081779455
17,0.2042042042042042,9.398506862012342e-06,0.02661447224926132,0.07133153650651088,0.051334014869235924
18,0.21621621621621623,9.890245494722607e-06,0.02722872583769136,0.0723929891252456,0.05209276170358827
19,0.22822822822822822,1.040623910651279e-05,0.027853447469042215,0.0734608092596377,0.05285688836441919
20,0.24024024024024024,1.0947603412214521e-05,0.028488710873085195,0.07453483407013745,0.05362631978045622
21,0.25225225225225223,1.1515501227403509e-05,0.02913458734836382,0.0756148970585312,0.05440097878062935
22,0.26426426426426425,1.211114424625046e-05,0.029791145674228928,0.0767008281303775,0.05518078611023874
23,0.27627627627627627,1.273579487648516e-05,0.030458452022705303,0.07779245366070224,0.0559656604482373
24,0.2882882882882883,1.3390768132853922e-05,0.031136569870256366,0.0788895965629231,0.05675551842561809
25,0.3003003003003003,1.4077433590463002e-05,0.031825559909516264,0.07999207636097072,0.057550274644894726
26,0.3123123123123123,1.4797217399416827e-05,0.03252547996105895,0.08109970926456891,0.05834984170066297
27,0.32432432432432434,1.5551604362164942e-05,0.0332363848852762,0.08221230824763245,0.059154130201229886
28,0.3363363363363363,1.6342140074987088e-05,0.03395832649443725,0.0833296831297384,0.059963048791296984
29,0.3483483483483483,1.717043313505268e-05,0.03469135346500428,0.08445164066062052,0.060776504175681687
30,0.36036036036036034,1.8038157414497746e-05,0.035435511250279245,0.08557798460763442,0.0615944011440621
31,0.37237237237237236,1.8947054402972314e-05,0.03619084199345829,0.0867085158461364,0.06241664259672802
32,0.3843843843843844,1.9898935620113257e-05,0.03695738444117197,0.08784303245271491,0.06324312957132093
33,0.3963963963963964,2.0895685099404598e-05,0.03773517385758967,0.08898132980121044,0.064073761270545
34,0.4084084084084084,2.193926194488767e-05,0.03852424193916778,0.09012320066145413,0.06490843509082987
35,0.42042042042042044,2.303170296218656e-05,0.03932461673012294,0.09126843530065386,0.06574704665192622
36,0.43243243243243246,2.417512536531227e-05,0.040136322538711224,0.09241682158735177,0.06658948982741274
37,0.4444444444444444,2.5371729560708878e-05,0.04095937985439559,0.09356814509787234,0.06743565677609509
38,0.45645645645645644,2.662380200999899e-05,0.0417938052659852,0.09472218922517914,0.06828543797427376
39,0.46846846846846846,2.7933718172882497e-05,0.042639611380829376,0.09587873529005266,0.06913872224885992
40,0.4804804804804805,2.9303945531633506e-05,0.043496806745150746,0.09703756265449869,0.06999539681131536
41,0.4924924924924925,3.073704669863202e-05,0.04436539576560242,0.09819844883729481,0.07085534729239439
42,0.5045045045045045,3.223568260835456e-05,0.045245378632133654,0.09936116963157636,0.07171845777766288
43,0.5165165165165165,3.380261579523597e-05,0.04613675124224971,0.10052549922436325,0.07258461084377105
44,0.5285285285285285,3.5440713758796756e-05,0.047039505126751126,0.10169121031792396,0.07345368759545448
45,0.5405405405405406,3.715295241741411e-05,0.0479536273770382,0.10285807425286998,0.07432556770323895
46,0.5525525525525525,3.894241965209309e-05,0.048879100574066074,0.1040258611328725,0.07520012944182329
47,0.5645645645645646,4.0812318941572685e-05,0.04981590271903627,0.10519433995088964,0.07607724972911405
48,0.5765765765765766,4.27659730900753e-05,0.050764007165909765,0.10636327871678863,0.07695680416588671
49,0.5885885885885885,4.480682804897967e-05,0.05172338255582698,0.10753244458624789,0.07783866707604623
50,0.6006006006006006,4.693845683366785e-05,0.052693992753519284,0.1087016039908178,0.07872271154746063
51,0.6126126126126126,4.916456353676255e-05,0.053675796785796426,0.10987052276902048,0.07960880947334041
52,0.6246246246246246,5.148898743893271e-05,0.054668748782193605,0.11103896629836374,0.08049683159413756
53,0.6366366366366366,5.391570721841124e-05,0.05567279791786129,0.11220669962814443,0.08138664753993582
54,0.6486486486486487,5.6448845260318673e-05,0.05668788835878044,0.11337348761291371,0.08227812587330599
55,0.6606606606606606,5.909267206684664e-05,0.0577139592093838,0.11453909504647494,0.08317113413259779
